2323,"Fashion, Industrial & Jewellery Designers",0,0,168,0,5,17,31,0,0,0,0,0,43,0,2,2,0,8,3,279
2324,"Graphic & Web Designers, & Illustrators",1,7,338,2,28,34,63,4,7,254,9,14,944,22,62,78,32,83,18,1998
2325,Interior Designers,0,0,69,0,51,13,77,3,0,0,0,0,201,0,5,5,0,5,0,433
2326,Urban & Regional Planners,3,0,7,15,16,1,1,0,18,0,0,8,123,1,404,6,3,1,0,608
2331,Chemical & Materials Engineers,0,33,64,67,7,0,0,0,1,0,0,0,50,0,15,8,0,0,1,247
2332,Civil Engineering Professionals,1,35,148,74,377,11,3,0,67,6,5,5,916,9,331,24,3,1,9,2026
2333,Electrical Engineers,0,29,183,207,52,11,0,0,15,4,0,0,262,6,61,15,1,1,15,861
2334,Electronics Engineers,0,2,205,3,10,16,4,0,6,10,0,0,116,0,93,15,1,0,9,490
2335,"Industrial, Mechanical & Production Engineers",3,68,927,55,75,38,10,0,19,2,3,0,429,12,101,26,6,1,42,1815
2336,Mining Engineers,0,361,77,22,14,24,0,0,8,1,0,0,145,1,28,6,1,1,8,696
2339,Other Engineering Professionals,8,10,229,20,15,23,0,0,13,1,0,0,196,1,115,13,61,4,21,730
2341,Agricultural & Forestry Scientists,181,0,33,1,0,81,13,0,0,0,5,0,208,3,60,69,7,1,9,672
2342,"Chemists, & Food & Wine Scientists",40,20,629,14,0,15,29,4,0,0,0,0,123,4,42,55,17,2,0,993
2343,Environmental Scientists,53,38,20,71,14,4,3,3,5,0,3,0,358,16,452,87,20,50,36,1235
2344,Geologists & Geophysicists,1,410,10,6,0,5,0,0,0,0,0,0,166,4,92,43,4,1,0,743
2345,Life Scientists,9,0,23,19,0,3,3,0,0,0,0,0,171,0,70,115,33,18,3,468
2346,Medical Laboratory Scientists,1,1,12,1,0,3,0,0,0,0,8,0,231,0,52,276,865,2,3,1457
2347,Veterinarians,14,0,4,1,0,6,0,0,0,3,0,0,423,0,31,27,21,5,3,539
2349,Other Natural & Physical Science Professionals,1,54,59,5,0,5,4,0,0,4,5,0,107,0,243,77,85,39,11,700
2411,Early Childhood (Pre-primary School) Teachers,0,0,0,0,0,0,0,0,0,0,0,0,3,5,76,1207,114,0,1,1409
2412,Primary School Teachers,3,1,4,2,1,1,3,0,2,2,3,0,23,3,40,11521,29,3,5,11646
2413,Middle School Teachers (Aus) / Intermediate School Teachers (NZ),0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,429,1,0,0,433
2414,Secondary School Teachers,2,1,3,1,0,1,3,0,2,2,2,0,18,2,29,8816,24,2,4,8913
2415,Special Education Teachers,0,0,0,0,0,0,0,0,0,0,0,0,2,6,30,1001,23,0,7,1072
2421,University Lecturers & Tutors,0,0,1,1,0,0,1,0,1,1,1,0,11,3,21,3416,11,1,15,3484
2422,Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),4,22,39,11,15,14,20,5,22,11,28,3,29,44,101,2086,98,5,48,2606
