ANZSCO,,Total Employed,,,,,,Male Employment,,,,,,Full Time Employment,,,,,,Age Groups,,,,,,,Industry Groups,,,,,,,,,,,,,,,,,,,,Qualification Levels,,,,,,Schooling Levels,,,,,,,Indigenous Status,,,State Government Regions,,,,,,,,,,,,,Apprentiships and Traineeships,,,,,,VET Students,,,,,
Code,Occupation,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,15-24,25-34,35-44,45-54,55-64,65+,Total,"Agriculture, Forestry & Fishing",Mining,Manufacturing,"Electricity, Gas, Water & Waste Services",Construction,Wholesale Trade,Retail Trade,Accommodation & Food Services,"Transport, Postal & Warehousing",Information Media & Telecommunications,Financial & Insurance Services,"Rental, Hiring & Real Estate Services","Professional, Scientific & Technical Services",Administrative & Support Services,Public Administration & Safety,Education & Training,Health Care & Social Assistance,Arts & Recreation Services,Other Services,Total,Bachelor or Higher,Diploma or Advance Diploma,Certificate III or IV,Certificate I or II,Not Applicable,Total,Year 12 or equivalent,Year 11 or equivalent,Year 10 or equivalent,Year 9 or equivalent,Year 8 or below,Did not go to school,Total,Non-Indigenous,Indigenous,Total,Adelaide Hills,Barossa,Eastern Adelaide,Eyre & Western,Far North,Fleurieu & Kangaroo Island,Limestone Coast,Murray & Mallee,Northern Adelaide,Southern Adelaide,Western Adelaide,Yorke & Mid North,Total,2006,2007,2008,2009,2010,2011,2006,2007,2008,2009,2010,2011
2422,Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),"2,549","3,379","3,839","3,715","2,526","2,912","1,575","1,764","2,286","1,796","1,059","1,731","1,541","2,752","2,479","2,803","1,368","2,260",31,255,581,824,787,140,"2,618",4,22,39,11,15,14,20,5,22,11,28,3,29,44,101,"2,086",98,5,48,"2,606","1,165",631,619,14,120,"2,548","1,586",568,356,48,20,0,"2,579","2,586",24,"2,611",165,96,418,92,42,57,97,59,472,638,387,93,"2,619",0,0,36,178,271,336,137,138,144,126,190,343
2491,Education Advisers & Reviewers,815,588,"1,498","1,034",821,448,281,120,327,196,155,157,484,318,"1,493",933,558,444,27,125,170,219,255,37,833,0,0,0,0,0,3,0,0,1,5,5,3,45,4,180,521,36,10,16,830,621,79,46,0,76,822,710,62,41,8,1,4,827,810,20,830,61,19,223,20,12,15,15,22,116,200,110,17,832,0,0,0,0,0,0,5,5,5,6,7,10
2492,Private Tutors & Teachers,"1,847","2,326","2,801","2,544","2,563","1,607",551,680,971,"1,082","1,065",851,284,494,"1,115",548,768,208,363,323,330,346,335,145,"1,842",5,0,14,0,0,0,35,10,2,5,1,0,16,7,40,"1,521",75,40,37,"1,809",835,287,140,13,515,"1,790","1,399",220,145,30,24,3,"1,821","1,817",19,"1,836",128,44,421,33,9,41,51,41,308,480,257,27,"1,841",0,0,0,0,0,0,110,110,114,114,131,232
2493,Teachers of English to Speakers of Other Languages,491,389,538,858,468,148,118,120,48,194,208,2,115,1,158,556,209,2,7,55,87,89,152,19,409,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,378,8,0,0,407,362,35,4,0,2,403,389,11,5,0,0,0,406,406,4,409,28,4,124,0,0,5,6,5,49,101,84,0,406,0,0,0,0,0,0,0,0,0,0,0,0
2511,Dietitians,59,271,161,162,280,273,2,0,1,0,1,55,57,271,160,161,48,158,17,122,61,35,17,3,255,0,0,0,0,0,6,0,0,0,0,0,0,11,0,8,8,211,0,7,252,239,10,0,0,4,253,239,7,9,0,0,0,255,251,0,251,19,3,58,11,4,5,4,4,22,77,43,5,255,0,0,0,0,0,0,0,0,0,0,0,0
2512,Medical Imaging Professionals,"1,705",791,959,913,576,"1,305",353,232,191,81,95,243,592,342,735,235,317,"1,050",96,390,274,202,107,9,"1,080",0,0,0,0,0,0,0,0,0,0,0,0,3,22,9,13,"1,029",0,0,"1,078",810,234,4,3,12,"1,063","1,039",33,6,0,0,0,"1,078","1,078",0,"1,078",42,28,262,16,0,9,19,18,191,293,189,11,"1,082",0,0,0,0,0,0,0,0,0,0,0,0
2513,Occupational & Environmental Health Professionals,797,"1,681","1,321","1,550","1,919","1,759",373,"1,162",690,"1,047","1,035","1,156",603,"1,279","1,025","1,383","1,322","1,455",49,236,338,389,294,29,"1,335",15,107,147,50,159,25,19,4,40,3,29,4,104,29,310,75,172,5,22,"1,322",442,343,292,11,225,"1,313",771,302,210,23,12,0,"1,318","1,328",7,"1,335",68,64,138,46,66,34,39,34,294,306,196,46,"1,338",0,0,0,0,0,0,350,334,336,183,346,316
2514,Optometrists & Orthoptists,139,239,1,227,51,157,60,239,1,84,50,156,137,239,1,85,51,157,8,54,54,53,36,8,214,0,0,0,0,0,0,4,0,0,0,4,0,1,0,0,1,202,0,0,213,186,11,2,2,6,208,202,5,3,0,0,0,211,213,0,213,8,5,71,8,0,7,10,5,20,52,25,3,214,0,0,0,0,0,0,0,0,0,0,0,0
2515,Pharmacists,"1,361","1,217",797,"1,906","1,016","1,352",357,538,228,547,182,619,909,"1,100",524,"1,400",855,"1,163",196,638,277,219,152,51,"1,533",0,0,41,0,0,33,"1,096",0,0,4,0,0,15,0,20,30,291,0,0,"1,532","1,407",31,15,0,50,"1,503","1,486",30,7,3,0,0,"1,526","1,529",0,"1,530",43,28,484,32,22,33,35,27,230,285,277,40,"1,536",0,0,0,0,0,0,4,4,4,5,6,9
2519,Other Health Diagnostic & Promotion Professionals,959,708,696,666,715,170,507,69,93,67,1,2,892,649,431,277,300,57,24,132,140,171,88,11,566,0,0,13,0,0,0,0,0,0,0,0,0,17,3,46,22,428,6,19,555,351,73,66,5,51,546,416,91,42,10,4,0,564,507,60,567,32,11,101,32,24,14,12,22,77,131,80,31,568,0,0,0,0,0,0,96,93,95,70,105,100
2521,Chiropractors & Osteopaths,256,516,772,526,260,374,256,407,585,419,259,251,177,334,294,151,203,271,8,102,91,62,38,13,315,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,309,0,0,313,288,16,0,0,1,305,291,14,7,0,0,0,312,314,0,314,27,9,92,8,0,8,16,12,23,71,44,5,314,0,0,0,0,0,0,0,0,0,0,0,0
2522,Complementary Health Therapists,460,727,476,479,224,510,164,239,1,41,45,140,316,87,127,289,184,230,0,49,98,100,86,22,356,0,0,0,0,0,3,23,10,0,0,0,0,1,0,7,2,306,0,3,355,132,160,15,0,24,331,266,43,34,4,3,0,350,352,0,352,32,12,91,0,0,11,16,3,40,100,46,6,357,0,0,0,0,0,0,24,30,34,52,51,44
2523,Dental Practitioners,824,946,"1,266",927,856,712,610,831,978,613,559,408,700,801,677,686,488,410,44,223,193,174,209,47,890,0,0,0,0,0,0,0,0,0,0,36,0,2,9,7,18,818,0,0,892,833,8,4,3,23,871,874,5,5,0,0,0,883,885,3,889,45,19,422,15,8,10,17,10,76,161,94,13,892,0,0,0,0,0,0,0,0,0,0,0,0
2524,Occupational Therapists,699,404,693,504,"1,306",767,42,43,3,1,366,105,541,404,243,243,827,544,91,349,166,121,33,0,760,0,5,0,0,0,0,0,0,0,0,5,0,14,0,64,15,639,0,14,759,731,16,1,0,6,753,737,9,5,3,0,0,755,754,0,754,56,14,193,18,4,15,14,10,105,199,112,21,761,0,0,0,0,0,0,0,0,0,0,0,0
2525,Physiotherapists,"1,433","1,092",880,865,"1,295","1,202",402,277,297,595,429,224,896,522,589,604,916,631,134,538,338,263,163,25,"1,460",0,0,1,0,0,9,0,0,0,0,0,0,13,0,28,25,"1,371",4,4,"1,457","1,327",94,4,0,16,"1,441","1,437",11,2,3,0,0,"1,453","1,450",4,"1,455",95,31,504,28,8,32,29,27,137,337,201,27,"1,458",0,0,0,0,0,0,0,0,0,0,0,0
2526,Podiatrists,101,109,2,266,476,326,60,58,1,155,1,279,60,109,1,265,59,280,33,83,76,68,26,7,294,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,286,0,0,289,215,52,8,8,4,286,282,7,4,0,0,0,293,288,4,292,13,8,90,5,0,10,12,6,33,52,55,6,291,0,0,0,0,0,0,0,0,0,0,0,0
2527,Speech Professionals & Audiologists,558,212,283,481,869,360,1,1,2,212,49,2,235,59,50,223,298,49,56,186,148,98,44,0,533,0,0,0,0,0,0,0,0,0,0,0,0,1,0,82,44,396,0,8,532,516,14,0,0,1,532,512,13,5,0,0,0,529,530,0,531,33,15,137,14,8,10,7,9,63,160,62,16,534,0,0,0,0,0,0,0,0,0,0,0,0
2531,Generalist Medical Practitioners,"2,644","3,923","3,544","3,044","3,230","4,561","1,394","2,456","2,206","1,421","1,625","2,168","1,952","2,839","2,929","1,693","2,237","3,810",71,"1,081",894,785,549,253,"3,633",0,0,1,1,0,5,1,0,0,1,1,0,12,11,67,42,"3,468",1,4,"3,616","3,444",19,8,0,52,"3,522","3,559",18,14,0,0,4,"3,596","3,603",16,"3,619",198,71,"1,505",48,24,65,76,67,398,742,349,81,"3,630",0,0,0,0,0,0,0,0,0,0,0,0
2532,Anaesthetists,174,662,902,856,119,483,134,532,827,703,114,272,169,595,763,704,119,325,0,73,94,97,55,16,335,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2,323,0,0,334,321,0,0,0,4,325,333,1,0,0,0,0,334,334,0,334,19,0,208,0,0,5,4,0,7,64,26,0,333,0,0,0,0,0,0,0,0,0,0,0,0
2533,Internal Medicine Specialists,373,360,767,435,725,587,283,162,697,330,250,398,324,285,766,378,496,586,0,90,148,128,79,45,491,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,14,454,0,0,490,464,1,4,0,1,470,481,1,6,0,0,0,488,489,0,489,33,0,289,0,0,0,5,0,26,97,39,0,489,0,0,0,0,0,0,0,0,0,0,0,0
2534,Psychiatrists,454,273,118,302,571,593,410,149,5,96,353,491,205,272,10,96,205,492,0,27,67,73,45,24,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,223,0,0,236,231,0,0,0,0,231,237,0,0,0,0,0,238,236,0,236,19,0,149,0,0,3,0,0,11,41,14,0,237,0,0,0,0,0,0,0,0,0,0,0,0
2535,Surgeons,215,502,729,645,444,614,208,496,574,588,337,413,83,319,728,537,344,613,3,81,123,112,73,56,448,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,9,424,0,0,446,426,1,0,0,5,432,443,1,0,0,0,0,444,446,0,447,24,3,274,4,0,4,4,0,15,82,36,0,446,0,0,0,0,0,0,0,0,0,0,0,0
2539,Other Medical Practitioners,414,"1,075",682,816,753,300,281,808,216,507,444,255,282,"1,074",517,566,657,299,4,136,211,209,128,47,734,0,0,0,0,0,0,4,0,0,0,0,0,7,3,12,12,693,0,0,733,663,14,11,0,17,705,710,14,7,0,0,0,731,734,0,734,53,7,409,0,0,6,7,0,48,150,53,0,733,0,0,0,0,0,0,0,0,0,0,0,0
2541,Midwives,"1,250","1,206","1,775","1,459","1,335","1,305",2,2,11,2,3,5,314,538,495,292,487,323,70,180,310,532,284,19,"1,395",0,0,1,0,0,0,0,0,0,0,0,0,3,29,6,16,"1,330",0,4,"1,390","1,254",66,4,0,27,"1,352","1,087",225,69,4,0,0,"1,385","1,383",8,"1,391",100,55,218,56,22,24,44,36,237,381,160,62,"1,396",0,0,0,0,0,0,7,8,6,9,11,12
2542,Nurse Educators & Researchers,88,883,149,101,394,137,0,0,147,1,104,1,88,225,148,52,304,49,4,42,108,141,67,7,368,0,0,0,0,0,0,4,0,0,0,0,0,15,4,7,63,262,0,5,360,292,48,6,0,11,356,288,55,23,0,0,0,366,367,0,367,33,11,69,3,3,7,3,9,54,134,44,0,370,0,0,0,0,0,0,6,7,5,8,9,10
2543,Nurse Managers,959,906,"1,496","1,664","1,392",895,211,1,332,592,235,143,665,457,"1,233","1,362","1,050",716,4,106,233,353,211,17,925,0,0,0,0,0,0,0,4,0,0,0,0,6,18,26,5,855,0,8,924,765,107,7,0,16,895,696,159,51,5,0,0,911,916,3,919,62,41,161,27,15,23,28,23,144,249,100,50,925,0,0,0,0,0,0,0,0,0,0,0,0
2544,Registered Nurses,"17,431","14,396","18,994","17,884","15,706","18,311","1,653","2,207","2,290","2,194","1,861","1,844","8,239","6,824","10,701","9,891","8,306","9,695",954,"3,384","4,394","5,543","3,330",358,"17,962",7,10,21,3,8,10,28,9,2,3,46,0,51,520,395,155,"16,547",4,83,"17,903","12,481","3,476",704,47,443,"17,151","13,208","2,841","1,423",183,52,11,"17,718","17,774",96,"17,870",971,621,"2,575",477,239,434,490,504,"3,489","5,069","2,433",649,"17,963",0,0,0,0,0,0,517,573,462,575,722,776
2611,ICT Business & Systems Analysts,"1,671","1,131","1,928","1,094","1,201","1,683","1,218",926,"1,581",846,869,"1,174","1,621",991,"1,846",982,"1,142","1,584",27,270,364,301,121,10,"1,094",4,13,90,63,6,40,12,0,20,40,115,8,312,8,258,51,32,1,9,"1,082",566,162,120,8,212,"1,067",935,105,37,4,3,0,"1,084","1,089",1,"1,090",61,26,282,0,3,9,4,5,227,311,158,4,"1,094",0,0,0,0,0,0,37,48,47,53,51,60
2612,Multimedia Specialists & Web Developers,485,309,509,512,288,415,317,79,455,509,280,406,269,238,460,413,190,361,53,229,102,41,23,1,449,0,1,14,6,0,2,13,0,5,30,7,0,264,9,27,38,12,10,4,443,231,67,36,10,91,435,400,32,14,5,0,0,450,446,0,446,22,6,121,0,0,12,4,3,109,106,59,4,450,0,0,0,0,0,0,56,80,77,86,75,76
2613,Software & Applications Programmers,"4,468","5,109","6,819","5,441","6,006","4,966","3,961","4,700","5,552","4,571","4,809","3,933","3,988","4,489","5,899","5,023","5,059","4,206",229,"1,328","1,220",750,340,36,"3,903",11,21,393,66,21,89,81,1,84,151,225,13,"1,784",50,543,187,96,18,22,"3,856","2,619",453,214,21,517,"3,825","3,509",247,105,13,3,3,"3,880","3,878",14,"3,892",226,59,961,21,4,20,11,15,995,946,630,8,"3,902",0,0,0,0,0,0,113,174,163,169,152,162
2621,"Database & Systems Administrators, & ICT Security Specialists","1,525","1,248","2,266","2,681","2,344","1,927","1,100","1,132","1,635","1,968","1,633","1,504","1,296","1,237","1,881","2,306","1,788","1,753",69,493,514,399,195,12,"1,681",6,37,139,57,27,68,48,4,41,66,102,11,413,29,288,190,116,14,17,"1,670",674,326,218,26,372,"1,616","1,353",223,89,7,0,0,"1,672","1,672",1,"1,674",98,50,332,7,11,9,14,10,417,455,267,11,"1,679",0,0,0,0,2,1,780,414,276,285,311,317
2631,Computer Network Professionals,"1,555","1,472","2,201","1,526","1,641","1,513","1,460","1,108","1,807","1,470","1,511","1,306","1,499","1,410","2,003","1,504","1,639","1,505",78,494,407,265,112,10,"1,366",0,22,112,42,14,44,27,0,28,87,55,6,419,15,180,210,61,7,23,"1,355",538,275,222,24,240,"1,298","1,111",175,67,7,3,0,"1,363","1,358",7,"1,364",67,49,240,10,9,7,6,14,386,362,197,17,"1,365",0,0,0,0,0,0,"1,065",609,418,426,442,441
2632,ICT Support & Test Engineers,51,80,418,215,114,376,50,79,412,213,107,175,49,77,415,209,113,324,20,133,133,74,26,0,387,0,10,30,21,3,18,4,0,3,17,39,0,120,4,81,18,6,3,5,382,162,59,51,7,94,373,329,37,13,4,0,0,383,385,0,386,20,12,75,4,0,3,0,0,98,99,73,0,386,0,0,0,0,0,0,26,42,39,43,36,39
2633,Telecommunications Engineering Professionals,369,747,398,449,42,401,369,640,324,346,35,392,368,685,284,351,42,398,20,124,124,99,48,9,424,0,4,14,20,11,21,7,0,1,187,9,0,76,4,40,12,2,0,8,417,210,75,77,4,53,417,345,52,22,0,0,0,419,420,0,420,30,10,99,0,0,0,0,4,92,109,75,3,424,0,0,0,0,0,0,1,4,4,7,11,15
2711,Barristers,233,607,608,479,751,572,167,174,246,410,610,301,189,538,607,411,593,571,7,90,139,133,93,23,486,0,0,0,0,0,0,0,6,0,0,0,0,277,0,195,3,0,0,0,483,370,52,15,5,36,478,433,38,11,0,0,0,483,484,0,484,32,13,207,7,6,3,6,6,58,95,50,3,486,0,0,0,0,0,0,24,19,27,29,31,32
2712,Judicial & Other Legal Professionals,769,352,946,608,262,506,429,307,477,365,189,152,720,190,711,302,261,355,12,81,93,116,135,41,479,0,4,5,10,4,0,0,0,0,5,17,0,79,0,267,14,44,0,13,464,382,19,18,0,44,464,430,26,16,3,0,0,476,471,4,475,24,10,231,3,3,8,3,3,53,86,55,0,479,0,0,0,0,0,0,14,14,15,19,21,25
2713,Solicitors,"1,926","3,570","2,885","2,938","3,480","3,601","1,148","1,662","1,564","1,774","2,208","1,809","1,673","2,674","2,433","2,819","2,835","2,871",121,922,588,539,414,108,"2,692",5,22,20,10,3,8,6,4,8,1,52,0,"2,230",0,252,35,7,0,17,"2,681","2,591",10,19,0,44,"2,664","2,587",53,28,3,0,0,"2,672","2,675",11,"2,687",158,28,"1,324",25,10,17,28,13,192,512,365,18,"2,691",0,0,0,0,0,0,8,6,9,10,10,11
2721,Counsellors,"1,539","1,574","2,146","1,595","1,034","2,176",405,372,979,144,94,296,"1,112",977,"1,632",816,768,"1,370",66,322,300,383,366,61,"1,498",0,0,6,0,0,0,4,3,0,0,18,0,61,76,133,469,676,4,32,"1,484","1,030",197,105,9,123,"1,464","1,188",173,99,16,6,0,"1,481","1,454",35,"1,489",116,52,298,62,26,26,51,41,209,375,202,37,"1,496",0,0,0,0,0,13,92,91,96,80,114,161
2722,Ministers of Religion,"1,432","1,015","1,081","1,411",860,"1,371","1,002",728,699,967,504,988,"1,288",828,848,955,421,930,24,144,258,304,379,164,"1,273",0,0,1,0,0,0,7,0,0,0,4,0,7,7,11,126,125,0,973,"1,264",784,219,98,6,130,"1,237",937,159,140,18,17,0,"1,270","1,267",8,"1,275",75,53,196,37,15,34,43,58,268,321,111,59,"1,275",0,0,5,6,5,2,23,37,34,38,32,36
2723,Psychologists,956,947,"1,092",814,"1,218","2,116",283,111,116,273,422,667,624,774,927,386,711,"1,073",21,258,257,206,218,59,"1,018",0,0,1,0,0,0,0,0,0,0,0,0,22,18,167,84,711,0,10,"1,014",974,24,5,0,5,"1,008",953,40,20,4,0,0,"1,017","1,017",0,"1,017",85,14,350,8,3,20,7,6,109,270,138,10,"1,020",0,0,0,0,0,0,0,0,0,0,0,0
2724,Social Professionals,"1,000","1,177",793,522,559,262,412,483,430,232,254,259,328,519,244,294,219,57,39,133,152,140,143,63,670,5,5,5,0,6,0,5,0,0,8,0,0,330,6,119,91,47,11,7,647,393,94,28,18,109,641,570,38,39,6,4,3,661,653,15,668,37,4,166,5,12,5,7,3,150,127,147,4,670,0,0,0,0,0,0,381,37,37,36,57,74
2725,Social Workers,"1,569","1,812","1,591","2,124","2,772","2,754",256,605,435,392,798,641,"1,058","1,387","1,233","1,615","1,718","1,751",104,583,478,442,397,50,"2,054",0,0,1,0,0,1,3,3,0,0,1,12,9,22,848,55,"1,053",0,23,"2,034","1,760",117,62,0,85,"2,023","1,655",176,142,33,14,0,"2,019","1,995",51,"2,046",122,62,386,81,42,29,56,52,369,494,316,46,"2,056",0,0,0,0,0,0,26,28,32,40,42,48
2726,"Welfare, Recreation & Community Arts Workers","1,310",863,"1,517",838,"1,287","1,671",351,269,519,287,274,581,917,616,"1,103",580,759,"1,055",77,267,285,404,267,48,"1,349",0,0,1,0,0,0,6,6,7,0,15,0,37,10,341,25,828,25,36,"1,338",560,254,301,6,195,"1,317",818,275,181,41,12,0,"1,326","1,277",65,"1,343",66,42,156,73,37,36,42,71,253,298,198,76,"1,349",0,0,0,0,0,0,192,190,203,168,230,246
3111,Agricultural Technicians,316,114,237,90,107,299,121,109,61,89,106,186,210,111,180,90,107,298,20,49,42,46,21,0,178,54,3,16,0,0,7,0,0,0,0,4,0,37,3,15,23,1,0,8,174,68,14,37,4,51,174,114,43,14,3,0,0,174,175,0,175,13,7,24,8,3,7,16,17,23,34,12,11,177,1,1,1,0,34,27,7,6,6,6,9,9
3112,Medical Technicians,"2,492","2,239","2,263","1,333",887,"2,189",876,610,614,261,268,677,"1,785","1,314","1,277",680,706,"1,603",225,435,410,511,264,27,"1,871",0,10,59,5,3,53,257,0,2,1,17,0,59,1,27,41,"1,314",0,12,"1,860",461,319,418,50,539,"1,787","1,341",342,147,15,3,0,"1,849","1,851",7,"1,858",73,62,296,30,18,26,29,21,431,535,310,43,"1,874",6,7,8,2,6,31,158,205,230,239,265,277
3113,Primary Products Inspectors,63,322,537,719,560,381,6,249,425,529,558,335,59,168,330,530,341,336,18,64,72,72,57,11,295,23,1,23,1,0,11,0,0,3,0,0,0,10,0,211,5,1,0,3,295,71,40,92,3,80,287,156,62,50,11,9,0,289,289,8,297,20,4,25,26,4,7,25,29,34,53,44,23,294,24,11,14,7,20,22,58,76,114,97,137,139
3114,Science Technicians,"1,445","2,770","1,700",603,"1,156","1,850",692,"1,315",788,417,667,963,"1,105","1,674","1,072",429,900,"1,260",153,295,283,305,221,29,"1,285",27,134,294,63,11,20,11,3,1,5,3,0,232,15,87,290,57,3,12,"1,270",355,207,273,39,361,"1,236",908,220,119,23,5,0,"1,275","1,271",11,"1,282",77,108,145,35,30,33,50,77,240,286,150,56,"1,286",5,8,10,2,6,29,27,31,36,43,58,60
3121,"Architectural, Building & Surveying Technicians","3,547","2,652","4,143","4,299","4,682","4,097","3,393","2,430","3,792","4,120","4,202","3,604","3,189","2,529","3,984","4,225","4,478","3,657",185,805,944,879,664,121,"3,597",5,49,258,99,"1,878",46,26,8,25,7,10,35,727,24,247,41,32,3,21,"3,542",507,626,"1,513",29,792,"3,466","1,886",893,625,101,42,0,"3,548","3,568",9,"3,577",200,163,517,94,43,92,71,62,763,963,539,84,"3,597",0,2,1,12,14,16,615,640,685,640,916,985
3122,Civil Engineering Draftspersons & Technicians,"1,000",183,551,753,746,785,926,174,551,748,740,562,926,183,413,750,743,618,89,204,160,162,118,30,763,0,10,79,27,108,4,0,0,8,0,3,8,349,1,137,8,2,0,4,751,122,224,187,13,194,740,517,150,72,11,3,0,753,752,4,756,38,27,131,14,8,15,11,13,155,216,123,10,762,1,0,0,0,1,0,144,160,172,149,289,496
3123,Electrical Engineering Draftspersons & Technicians,548,966,680,772,543,"1,392",548,959,680,768,538,"1,383",548,902,627,770,541,"1,283",37,134,170,162,115,22,640,0,43,120,115,117,14,6,0,17,3,0,0,114,7,29,5,6,0,31,627,78,133,336,1,84,633,370,190,61,6,4,0,630,639,0,639,28,22,57,27,21,7,12,5,168,181,102,9,640,0,0,0,0,1,0,20,34,38,53,84,107
3124,Electronic Engineering Draftspersons & Technicians,"1,275",129,781,266,658,629,"1,035",124,724,263,655,572,"1,275",129,781,265,657,498,36,86,109,123,84,12,449,0,7,131,9,14,12,5,0,14,39,0,0,56,0,101,15,8,4,16,433,46,161,165,5,58,435,307,100,33,0,0,0,441,448,0,448,32,24,56,6,4,5,1,8,141,99,69,7,450,0,0,0,1,3,0,5,16,19,28,47,62
3125,Mechanical Engineering Draftspersons & Technicians,233,"1,065",377,207,362,506,233,920,304,204,301,404,233,"1,065",377,128,360,502,29,90,113,99,64,16,411,0,9,153,15,20,20,3,0,4,0,0,0,127,0,17,7,1,0,26,403,57,139,154,1,44,395,242,101,52,6,7,0,408,409,0,409,27,18,48,6,6,5,9,8,126,107,48,4,410,1,4,12,9,3,5,113,107,110,42,90,78
3126,Safety Inspectors,395,567,65,170,331,405,395,564,65,168,329,356,355,567,65,169,330,357,14,52,63,90,63,9,291,0,39,30,4,18,10,0,0,4,0,5,0,26,7,118,6,10,0,0,279,61,75,83,0,67,286,149,78,56,4,4,0,291,286,5,291,21,13,25,11,35,5,10,8,53,66,42,4,292,0,66,172,112,254,300,123,117,118,60,120,110
3129,Other Building & Engineering Technicians,"1,619","1,510",765,720,"1,421","1,463","1,348","1,419",706,596,"1,040","1,353","1,457","1,417",764,569,"1,415","1,448",81,290,410,427,217,8,"1,432",14,426,376,64,68,35,4,3,41,1,1,1,230,18,52,19,31,0,30,"1,413",166,230,673,13,309,"1,391",717,446,225,24,8,0,"1,420","1,417",7,"1,424",54,67,104,138,230,23,41,30,263,265,146,68,"1,432",0,4,0,5,118,341,191,203,233,141,225,237
3131,ICT Support Technicians,"3,365","2,184","3,071","2,935","2,800","3,740","2,007","1,499","2,273","2,337","2,317","3,441","2,759","2,112","2,508","2,605","2,550","3,159",402,"1,059",722,498,251,28,"2,959",13,44,164,78,29,100,123,7,50,311,255,16,625,50,416,381,156,30,82,"2,932",757,535,673,81,801,"2,848","2,220",496,199,21,3,8,"2,947","2,934",15,"2,950",127,68,505,37,24,33,37,40,776,778,496,35,"2,962",84,43,46,42,61,77,302,417,392,423,434,445
3132,Telecommunications Technical Specialists,216,124,97,297,354,200,216,124,97,294,351,198,215,124,97,252,353,199,19,51,84,118,59,7,339,0,5,18,10,32,6,5,0,14,190,5,0,19,0,21,2,1,0,6,334,42,83,133,4,58,320,209,104,21,3,0,0,337,338,3,341,29,12,43,4,0,3,4,4,82,106,50,3,341,16,17,18,5,2,8,6,8,9,12,17,21
3211,Automotive Electricians,"1,046",449,298,544,385,526,"1,046",449,298,544,318,356,"1,045",449,298,544,383,526,96,103,108,81,50,4,442,0,22,47,0,12,32,32,0,23,0,0,0,9,0,1,0,0,0,256,436,3,5,356,3,67,435,170,185,75,7,3,0,441,435,3,438,17,23,32,18,12,10,25,26,109,93,55,25,444,35,42,47,39,53,41,126,124,131,116,145,154
3212,Motor Mechanics,"6,469","8,738","6,708","7,258","8,369","7,411","6,259","8,738","6,613","7,208","8,274","7,411","5,751","8,350","6,384","6,551","7,754","6,474","1,577","1,305","1,360","1,332",836,165,"6,575",47,70,392,41,110,390,"1,074",5,430,1,20,55,20,54,152,15,9,22,"3,558","6,464",67,107,"4,744",31,"1,478","6,426","2,111","2,375","1,595",265,106,8,"6,460","6,478",54,"6,532",345,379,382,262,129,221,415,382,"1,707","1,293",692,353,"6,573",489,592,689,489,602,642,"1,046","1,001","1,040",846,"1,092","1,116"
3221,"Metal Casting, Forging & Finishing Trades Workers",233,631,369,337,521,363,191,631,369,337,521,363,233,631,369,284,370,262,15,32,75,62,48,9,241,53,0,171,0,6,1,0,0,0,0,0,0,0,0,0,0,0,4,1,238,4,3,113,0,111,232,63,62,73,26,10,0,234,232,8,240,14,20,10,3,0,9,3,8,67,54,35,9,239,1,3,1,2,4,3,47,44,45,18,37,32
3222,Sheetmetal Trades Workers,558,615,427,522,849,561,558,615,427,522,849,561,515,428,385,522,847,511,104,130,138,126,69,18,586,3,9,480,0,50,4,4,0,1,0,0,0,5,0,4,0,0,0,13,574,7,4,362,0,200,573,166,206,150,39,12,0,573,583,3,586,13,28,19,12,10,4,17,18,231,133,91,9,585,384,396,494,285,411,352,282,266,272,112,227,197
3223,Structural Steel & Welding Trades Workers,"6,569","7,066","5,781","4,767","3,615","4,763","6,569","7,066","5,781","4,767","3,615","4,707","6,457","6,953","5,445","4,570","3,269","4,718","1,078","1,186","1,256","1,116",609,74,"5,319",51,148,"3,708",124,550,65,16,13,99,8,3,9,62,62,32,10,6,10,193,"5,168",59,89,"3,400",29,"1,551","5,129","1,522","1,811","1,396",307,128,15,"5,179","5,224",55,"5,279",164,322,205,334,218,68,250,265,"1,452",943,742,349,"5,319",16,18,4,0,8,20,"2,913","2,759","2,785","1,210","2,380","2,115"
3231,Aircraft Maintenance Engineers,715,505,"1,058",592,"1,175",578,715,505,979,592,"1,118",522,714,389,"1,057",592,"1,015",522,171,342,261,203,70,12,"1,059",1,1,235,1,12,2,4,0,219,0,0,0,56,0,482,17,10,0,13,"1,055",45,151,731,3,109,"1,040",705,224,122,4,0,0,"1,056","1,051",6,"1,057",37,94,70,7,1,7,15,4,479,167,168,10,"1,060",35,38,55,41,40,36,77,92,112,112,123,117
