ANZSCO,,Total Employed,,,,,,Male Employment,,,,,,Full Time Employment,,,,,,Age Groups,,,,,,,Industry Groups,,,,,,,,,,,,,,,,,,,,Qualification Levels,,,,,,Schooling Levels,,,,,,,Indigenous Status,,,State Government Regions,,,,,,,,,,,,,Apprentiships and Traineeships,,,,,,VET Students,,,,,
Code,Occupation,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,15-24,25-34,35-44,45-54,55-64,65+,Total,"Agriculture, Forestry & Fishing",Mining,Manufacturing,"Electricity, Gas, Water & Waste Services",Construction,Wholesale Trade,Retail Trade,Accommodation & Food Services,"Transport, Postal & Warehousing",Information Media & Telecommunications,Financial & Insurance Services,"Rental, Hiring & Real Estate Services","Professional, Scientific & Technical Services",Administrative & Support Services,Public Administration & Safety,Education & Training,Health Care & Social Assistance,Arts & Recreation Services,Other Services,Total,Bachelor or Higher,Diploma or Advance Diploma,Certificate III or IV,Certificate I or II,Not Applicable,Total,Year 12 or equivalent,Year 11 or equivalent,Year 10 or equivalent,Year 9 or equivalent,Year 8 or below,Did not go to school,Total,Non-Indigenous,Indigenous,Total,Adelaide Hills,Barossa,Eastern Adelaide,Eyre & Western,Far North,Fleurieu & Kangaroo Island,Limestone Coast,Murray & Mallee,Northern Adelaide,Southern Adelaide,Western Adelaide,Yorke & Mid North,Total,2006,2007,2008,2009,2010,2011,2006,2007,2008,2009,2010,2011
1331,Construction Managers,"3,536","5,438","4,191","4,920","4,299","4,914","3,357","5,430","4,124","4,444","3,859","4,390","3,228","5,046","3,619","4,638","3,923","4,523",235,811,"1,264","1,286",964,188,"4,749",18,29,177,147,"3,544",55,40,19,30,18,25,68,260,25,126,18,35,6,34,"4,675",889,507,"2,047",24,"1,101","4,567","2,349","1,168",838,190,108,13,"4,666","4,699",32,"4,731",333,183,892,168,59,148,222,150,736,"1,061",576,213,"4,749",0,0,0,0,0,3,530,537,608,527,843,798
1332,Engineering Managers,"1,723","1,366","1,972","1,404","1,363","2,090","1,506","1,364","1,752","1,393","1,347","1,836","1,551","1,366","1,801","1,302","1,256","1,987",12,169,412,388,209,32,"1,223",6,38,403,81,90,31,4,1,43,21,7,6,327,8,100,5,11,5,17,"1,205",689,204,218,4,80,"1,194",920,181,97,7,7,0,"1,213","1,209",5,"1,214",84,51,270,36,22,12,27,13,239,281,170,18,"1,222",0,0,0,0,0,0,51,52,54,32,57,61
1333,"Importers, Exporters & Wholesalers","1,264",842,"2,196","1,495","1,776","1,597","1,016",443,"1,674","1,205","1,262","1,385",816,470,"1,395","1,347","1,670","1,486",40,159,365,441,325,124,"1,454",23,8,92,9,30,"1,097",79,1,23,1,10,1,16,14,14,3,8,1,10,"1,439",266,143,257,14,721,"1,401",794,320,224,60,25,12,"1,434","1,440",0,"1,440",112,43,360,27,6,34,50,22,246,321,204,29,"1,455",0,0,0,0,0,0,35,32,32,32,40,44
1334,Manufacturers,"1,795","1,142",947,"2,295","1,640","1,322","1,527",943,729,"1,734","1,311","1,007","1,755",969,829,"2,073","1,176","1,279",84,245,517,618,403,126,"1,993",44,6,"1,587",14,71,72,53,11,8,6,8,1,23,11,12,8,20,5,21,"1,979",239,170,617,18,870,"1,914",847,538,419,104,49,3,"1,960","1,970",11,"1,981",125,152,242,62,4,70,107,80,433,421,220,77,"1,994",0,0,0,0,0,0,116,115,136,101,136,138
1335,Production Managers,"3,181","4,182","4,704","3,879","4,553","3,702","2,790","3,517","3,831","3,502","4,067","3,297","3,056","4,146","4,526","3,814","4,436","3,687",49,557,"1,108","1,188",558,79,"3,539",64,292,"2,315",43,141,170,50,15,37,48,18,9,85,55,43,13,52,8,38,"3,497",627,412,"1,142",42,"1,209","3,431","1,752",953,637,108,54,0,"3,504","3,511",18,"3,529",197,212,386,109,93,74,161,106,871,723,501,102,"3,540",0,0,0,2,1,0,315,307,339,257,345,369
1336,Supply & Distribution Managers,"1,890","1,404","1,529","1,988","1,671","2,182","1,530","1,090","1,067","1,581","1,511","2,034","1,838","1,154","1,464","1,976","1,662","2,007",26,270,620,651,394,44,"2,005",18,39,395,63,67,215,141,17,693,12,33,16,38,17,123,8,54,9,21,"1,978",364,299,403,21,866,"1,954","1,101",476,320,60,27,0,"1,984","1,990",7,"1,996",114,117,249,52,13,26,66,50,513,412,359,35,"2,006",7,8,4,0,12,30,255,210,208,85,159,125
1341,Child Care Centre Managers,914,734,605,730,566,988,1,0,14,6,21,20,790,576,343,400,509,574,36,191,224,199,92,8,749,1,1,5,1,3,3,2,1,1,1,1,1,3,8,26,248,427,5,11,748,203,439,45,8,49,744,512,141,74,11,1,0,739,737,7,744,43,38,78,28,17,19,15,25,188,190,77,30,748,44,162,64,70,144,153,185,194,221,278,295,380
1342,Health & Welfare Services Managers,640,999,"1,708","1,181","1,617","1,611",43,316,330,271,464,301,599,999,"1,632","1,178","1,384","1,401",9,147,349,593,380,40,"1,518",1,4,14,2,6,8,8,14,3,1,7,7,18,27,136,14,"1,212",4,21,"1,509",951,226,148,10,140,"1,474","1,080",279,121,19,7,0,"1,505","1,489",26,"1,516",92,64,274,47,34,34,39,53,260,369,185,68,"1,518",0,0,6,1,12,3,74,71,74,51,82,83
1343,School Principals,"2,002","1,848","2,654","1,446","1,597","1,878","1,166",862,"1,268",713,778,912,"2,002","1,848","2,650","1,442","1,591","1,872",1,86,327,596,579,33,"1,622",1,1,11,2,6,6,5,1,3,2,3,1,6,2,49,"1,506",7,1,3,"1,617","1,334",233,17,0,30,"1,614","1,532",52,25,5,2,0,"1,616","1,610",8,"1,619",83,77,317,80,48,38,74,73,199,336,196,101,"1,622",0,0,0,0,0,0,0,0,0,0,0,0
1344,Other Education Managers,"1,163",674,"1,097",914,713,"1,040",703,131,667,319,110,722,"1,042",590,859,771,659,"1,037",5,72,137,262,253,21,749,1,1,5,1,3,3,2,1,1,1,1,1,13,4,122,539,24,4,21,747,537,90,58,0,48,733,611,80,47,7,1,0,745,737,12,749,52,19,212,17,7,15,10,22,92,192,97,12,747,0,0,0,0,0,0,8,7,8,10,12,16
